GENESIS-Tabelle: 12111-12-01-4
Bevölkerung nach Geschlecht, Erwerbsstatus;;;;;;;;;;;;;
und Altersgruppen - Stichtag 09.05.2011 -;;;;;;;;;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;;
Zensus 2011;;;;;;;;;;;;;
09.05.2011;;;;;;;;;;;;;
;;;Bevölkerung nach Erwerbsstatus;Erwerbspersonen;Erwerbstätige;Erwerbstätige;Erwerbstätige;Erwerbslose;Erwerbslose;Erwerbslose;Nichterwerbspersonen;Nichterwerbspersonen;Nichterwerbspersonen
;;;;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
12061;      Dahme-Spreewald, Landkreis;55 bis unter 60 Jahre;12650;10270;9680;4880;4810;580;/;/;2390;1050;1340
12061;      Dahme-Spreewald, Landkreis;60 bis unter 65 Jahre;9260;4680;4480;2490;1990;/;/;/;4580;1900;2680
12061;      Dahme-Spreewald, Landkreis;65 bis unter 70 Jahre;9160;1080;1070;580;490;/;/;/;8080;3780;4310
12061;      Dahme-Spreewald, Landkreis;70 bis unter 75 Jahre;11460;760;730;500;/;/;/;/;10700;4720;5980
12061;      Dahme-Spreewald, Landkreis;75 bis unter 80 Jahre;7030;/;/;/;/;/;/;/;6820;3020;3800
12061;      Dahme-Spreewald, Landkreis;80 bis unter 85 Jahre;5150;/;/;/;/;/;/;/;5050;2180;2860
12061;      Dahme-Spreewald, Landkreis;85 bis unter 90 Jahre;2430;/;/;/;/;/;/;/;2420;500;1930
12061;      Dahme-Spreewald, Landkreis;90 Jahre und mehr;1170;/;/;/;/;/;/;/;1170;/;850
12061;      Dahme-Spreewald, Landkreis;Insgesamt;159230;88180;84120;44230;39890;4060;2210;1850;71050;32110;38940
12062;      Elbe-Elster, Landkreis;unter 5 Jahre;3780;x;x;x;x;x;x;x;3780;1980;1790
12062;      Elbe-Elster, Landkreis;5 bis unter 10 Jahre;3670;x;x;x;x;x;x;x;3670;1930;1740
12062;      Elbe-Elster, Landkreis;10 bis unter 15 Jahre;4310;x;x;x;x;x;x;x;4310;1950;2360
12062;      Elbe-Elster, Landkreis;15 bis unter 20 Jahre;3290;1390;1260;800;460;/;/;/;1900;910;990
12062;      Elbe-Elster, Landkreis;20 bis unter 25 Jahre;5700;4750;4280;2550;1730;470;/;/;950;390;560
12062;      Elbe-Elster, Landkreis;25 bis unter 30 Jahre;5820;5180;4700;2770;1930;490;/;/;640;/;380
12062;      Elbe-Elster, Landkreis;30 bis unter 35 Jahre;5540;5150;4680;2630;2050;470;/;/;390;/;200
12062;      Elbe-Elster, Landkreis;35 bis unter 40 Jahre;5500;5090;4630;2560;2070;460;/;/;410;/;/
12062;      Elbe-Elster, Landkreis;40 bis unter 45 Jahre;7880;7460;6900;3690;3210;570;/;310;420;/;/
12062;      Elbe-Elster, Landkreis;45 bis unter 50 Jahre;10310;9410;8610;4340;4270;800;350;450;900;390;510
12062;      Elbe-Elster, Landkreis;50 bis unter 55 Jahre;10190;8950;8160;4190;3970;790;420;/;1240;490;760
12062;      Elbe-Elster, Landkreis;55 bis unter 60 Jahre;9470;7800;6770;3530;3250;1020;480;550;1670;790;880
12062;      Elbe-Elster, Landkreis;60 bis unter 65 Jahre;6860;2860;2630;1640;990;/;/;/;4000;1620;2370
12062;      Elbe-Elster, Landkreis;65 bis unter 70 Jahre;6540;540;530;310;/;/;/;/;6000;3060;2950
12062;      Elbe-Elster, Landkreis;70 bis unter 75 Jahre;7900;410;410;/;/;/;/;/;7480;3230;4250
12062;      Elbe-Elster, Landkreis;75 bis unter 80 Jahre;5790;/;/;/;/;/;/;/;5710;2290;3420
12062;      Elbe-Elster, Landkreis;80 bis unter 85 Jahre;4170;/;/;/;/;/;/;/;4100;1330;2770
12062;      Elbe-Elster, Landkreis;85 bis unter 90 Jahre;2230;/;/;/;/;/;/;/;2220;570;1650
12062;      Elbe-Elster, Landkreis;90 Jahre und mehr;780;/;/;/;/;/;/;/;770;/;620
12062;      Elbe-Elster, Landkreis;Insgesamt;109720;59170;53730;29350;24380;5440;2800;2640;50560;21970;28590
12063;      Havelland, Landkreis;unter 5 Jahre;5920;x;x;x;x;x;x;x;5920;3130;2790
12063;      Havelland, Landkreis;5 bis unter 10 Jahre;6500;x;x;x;x;x;x;x;6500;3550;2950
12063;      Havelland, Landkreis;10 bis unter 15 Jahre;7750;x;x;x;x;x;x;x;7750;4140;3610
12063;      Havelland, Landkreis;15 bis unter 20 Jahre;5900;1790;1540;810;740;/;/;/;4100;2050;2050
12063;      Havelland, Landkreis;20 bis unter 25 Jahre;7810;6610;6120;3380;2740;480;/;/;1210;670;540
